"37.594977469,-79.390599048"
"37.570172107,-79.439786607"
"37.596701711,-79.39144247"
"37.590318504,-79.443119425"
"37.537628519,-79.495515577"
"37.697457571,-79.272142616"
"37.66995647,-79.305165376"
"37.70893599,-79.268591039"
"37.667304789,-79.278086325"
"37.691743503,-79.272175497"
"37.687602703,-79.271536258"
"37.685343584,-79.271177878"
"37.722359089,-79.254259403"
"37.673935542,-79.3344248"
"38.284242825,-78.658724492"
"38.356518072,-78.545243568"
"38.328034855,-78.571572879"
"38.321199774,-78.591952355"
"38.303140066,-78.616414164"
"38.301692248,-78.62291574"
"38.317507383,-78.596741833"
"38.310077651,-78.602338061"
"38.301735442,-78.622483817"
"38.333204398,-78.554189656"
"38.332511634,-78.556694827"
"38.357098776,-78.54532055"
"38.337367331,-78.55118528"
"38.330949163,-78.563154637"
"38.369483651,-78.526518618"
"38.377694512,-78.523234505"
"38.364853085,-78.527986938"
"38.443757296,-78.47228212"
"38.43434424,-78.477702449"
"38.431047176,-78.480253274"
"38.421346197,-78.485329238"
"38.418246074,-78.485733193"
"38.414831744,-78.486044768"
"38.411705621,-78.488122617"
"38.407160963,-78.490616731"
"38.405068282,-78.493923308"
"38.402343248,-78.4981831"
"38.365331678,-78.540306244"
"38.361345809,-78.5446848"
"38.46678755,-78.456923145"
"38.357808625,-78.54487299"
"38.379940234,-78.521502672"
"38.364125979,-78.529645779"
"38.761992295,-78.277530545"
"38.662348557,-78.322765785"
"38.665456427,-78.319679661"
"38.660853463,-78.323533425"
"38.665911018,-78.319498304"
"38.662806198,-78.322421103"
"38.758167547,-78.256161563"
"38.75924501,-78.26551255"
"38.743708059,-78.298096442"
"38.744180047,-78.321068867"
"38.700765329,-78.329162437"
"38.675501827,-78.322743023"
"38.761893619,-78.271995375"
"38.757679755,-78.286042374"
"37.333359422,-80.751441005"
"37.333075324,-80.750339383"
"37.343208513,-80.758694116"
"37.256125956,-80.855513561"
"37.332782733,-80.751035811"
"37.333595027,-80.752620445"
"37.325146118,-80.752510329"
"37.323386933,-80.752065528"
"37.307171763,-80.76232508"
"37.294895078,-80.786725353"
"37.437755276,-80.621491517"
"37.428576537,-80.613245381"
"37.425518562,-80.61103376"
"37.437807027,-80.619041332"
"37.43676392,-80.622848732"
"37.423479461,-80.643810227"
"37.408672804,-80.676165715"
"37.379110902,-80.749479028"
"37.374864703,-80.760496016"
"37.420942203,-80.599617188"
"37.414468425,-80.588113597"
"37.408054289,-80.584223727"
"37.40189832,-80.580857235"
"37.412128713,-80.522681857"
"37.413009461,-80.520575118"
"37.412924031,-80.520894131"
"37.41872486,-80.597364345"
"37.414244746,-80.585527514"
"37.406423109,-80.584072048"
"37.388178489,-80.470680384"
"37.39596122,-80.473797954"
"37.400628846,-80.580738395"
"37.400322838,-80.578773433"
"37.405116924,-80.546645959"
"37.401895013,-80.478139738"
"37.417035194,-80.492304702"
"37.416024915,-80.508607068"
"37.413850052,-80.51908601"
"37.418947307,-80.604654931"
"37.420790067,-80.604307328"
"36.972667755,-81.396887058"
"37.000604628,-81.404315775"
"37.012480018,-81.420092706"
"37.021144167,-81.430166735"
"37.003866189,-81.40575683"
"37.022199556,-81.425983271"
"37.015110075,-81.419922614"
"37.053823372,-81.407127834"
"37.035680834,-81.42639257"
"37.04323134,-81.432065089"
"37.04262537,-81.430172171"
"37.055641704,-81.389142717"
"37.056082096,-81.392518353"
"37.055060656,-81.383477417"
"37.022707001,-81.425019553"
"37.042653658,-81.431314452"
"37.055406347,-81.389652546"
"37.056951525,-81.400674923"
"37.055085704,-81.383175252"
"37.055072737,-81.385918748"
"37.038017612,-81.425591526"
"37.039436761,-81.424878941"
"37.063670621,-81.339160012"
"37.075938838,-81.309682857"
"37.088727086,-81.234418596"
"37.105723147,-81.208213495"
"37.088596743,-81.234647718"
"37.077028818,-81.307092162"
"37.091405467,-81.254715463"
"37.10531467,-81.206451358"
"37.113338441,-81.187574018"
"37.118832104,-81.182621702"
"37.117954138,-81.178854019"
"37.134422011,-81.143288156"
"37.124057181,-81.167980521"
"37.134746929,-81.143266082"
"37.136310632,-81.139331584"
"37.112577379,-81.185683457"
"37.118375843,-81.18216668"
"37.118644971,-81.175516293"
"37.133835214,-81.145325719"
"37.107887554,-81.196410336"
"37.135130411,-81.142049076"
"37.107887554,-81.196410336"
"37.838394672,-79.022365341"
"37.838475461,-79.021838314"
"37.83841189,-79.022929247"
"37.839430156,-79.021208892"
"37.855091393,-78.999799689"
"37.843620363,-78.997568953"
"37.855052812,-79.010063275"
"37.855221779,-78.987515388"
"37.856536252,-78.985603846"
"37.875632297,-78.99206995"
"37.885179514,-78.99221329"
"37.945672264,-78.942377856"
"37.917376346,-78.971906021"
"37.901289522,-78.985219022"
"37.941980895,-78.93752063"
"37.959559734,-78.895332905"
"37.96131475,-78.892962633"
"37.9602518,-78.89390382"
"37.964666648,-78.887264834"
"37.960981849,-78.893701075"
"37.958992579,-78.893443078"
"37.960556593,-78.892579674"
"38.030370386,-78.857312108"
"38.008311547,-78.876539206"
"37.99197622,-78.879345289"
"37.985188243,-78.883716816"
"37.96539677,-78.894905173"
"37.958724308,-78.901442267"
"37.944251857,-78.921080647"
"38.032392422,-78.858790314"
"38.032050899,-78.858637932"
"38.065018234,-78.804009652"
"38.066215559,-78.800691116"
"38.051565733,-78.836626481"
"38.041941331,-78.848316871"
"38.065465956,-78.803344468"
"38.032956792,-78.858950886"
"38.059672534,-78.817599257"
"38.065989321,-78.80212046"
"38.052672823,-78.834141519"
"38.049445002,-78.840153612"
"38.034216616,-78.858850842"
"37.392544469,-80.040549522"
"37.391650648,-80.019313622"
"37.434330889,-79.998773167"
"37.420059875,-79.995509675"
"37.388824111,-80.057735897"
"37.388161051,-80.058648623"
"37.38850604,-80.056710371"
"37.392334982,-80.036495753"
"37.434820397,-79.99904403"
"37.397227933,-80.010461178"
"37.380340084,-80.089509906"
"37.383958017,-80.080905113"
"37.409078553,-79.938139229"
"37.388006774,-79.922511882"
"37.434837217,-79.987282662"
"37.432639477,-79.981803337"
"37.432683319,-79.983816706"
"37.408168929,-79.937569236"
"37.432821027,-79.981359895"
"37.416671896,-79.955016697"
"37.41408418,-79.939043058"
"37.432984871,-79.978852442"
"37.425574008,-79.959531771"
"37.431263626,-79.969565715"
"37.381813606,-79.923975237"
"37.393483066,-79.908553317"
"37.440194817,-79.995208516"
"37.391144377,-79.910031716"
"37.404706792,-79.895978858"
"37.398595458,-79.854457645"
"37.420705645,-79.786420468"
"37.425865713,-79.761286049"
"37.418624896,-79.801725074"
"36.711844634,-81.515247624"
"36.705690967,-81.51894223"
"36.755639935,-81.492042264"
"36.71744432,-81.514729061"
"36.718794701,-81.505738684"
